name,land,naval,air,other
Iceland,0,0,0,0
UK,80000,30000,20000,10000
France,108000,36000,36000,24000
Portugal,15000,5000,5000,5000
Spain,80000,20000,20000,10000
Italy,90000,30000,30000,10000
Netherlands,18000,6000,6000,12000
Belgium,10000,1000,5000,5000
Luxembourg,1000,0,0,0
Czech Rep.,10000,0,5000,5000
Slovenia,3000,0,1000,3000
Croatia,4000,1000,1000,4000
Montenegro,0,0,0,1000
Albania,2000,1000,0,2000
Norway,12000,6000,6000,6000
Sweden,10000,5000,5000,5000
Finland,12000,6000,3000,0
Estonia,3000,0,1000,3000
Latvia,3000,1000,0,3000
Lithuania,4000,1000,1000,4000
Denmark,4000,1000,4000,4000
Germany,72000,12000,24000,48000
Poland,96000,12000,24000,24000
Slovakia,4000,0,4000,4000
Romania,28000,7000,7000,14000
Hungary,10000,0,5000,10000
Bulgaria,10000,5000,5000,5000
North Macedonia,3000,0,0,3000
Greece,90000,20000,20000,10000
Turkey,225000,45000,45000,15000
Russia,550000,150000,150000,250000
Ukraine,400000,60000,60000,210000