Driver,Name_x,Year_x,Race_Result,Serial
Tommi Mäkinen,Rallye Automobile Monte-Carlo,2000,1,1.0
Carlos Sainz,Rallye Automobile Monte-Carlo,2000,2,1.0
Colin McRae,Rallye Automobile Monte-Carlo,2000,DNF,1.0
Carlos Sainz,International Swedish Rally,2000,DNF,2.0
Colin McRae,International Swedish Rally,2000,3,2.0
Tommi Mäkinen,International Swedish Rally,2000,2,2.0
Tommi Mäkinen,Sameer Safari Rally Kenya,2000,DNF,3.0
Carlos Sainz,Sameer Safari Rally Kenya,2000,4,3.0
Colin McRae,Sameer Safari Rally Kenya,2000,DNF,3.0
Colin McRae,TAP Rallye de Portugal,2000,DNF,4.0
Carlos Sainz,TAP Rallye de Portugal,2000,3,4.0
Tommi Mäkinen,TAP Rallye de Portugal,2000,DNF,4.0
Colin McRae,Rallye Catalunya - Costa Brava - Rallye de España,2000,1,5.0
Tommi Mäkinen,Rallye Catalunya - Costa Brava - Rallye de España,2000,4,5.0
Carlos Sainz,Rally Argentina,2000,DNF,6.0
Colin McRae,Rally Argentina,2000,DNF,6.0
Tommi Mäkinen,Rally Argentina,2000,3,6.0
Colin McRae,Acropolis Rally,2000,1,7.0
Carlos Sainz,Acropolis Rally,2000,2,7.0
Tommi Mäkinen,Acropolis Rally,2000,DNF,7.0
Carlos Sainz,Propecia Rally New Zealand,2000,3,8.0
Tommi Mäkinen,Propecia Rally New Zealand,2000,DNF,8.0
Colin McRae,Propecia Rally New Zealand,2000,2,8.0
Carlos Sainz,Neste Rally Finland,2000,1,9.0
Tommi Mäkinen,Neste Rally Finland,2000,4,9.0
Colin McRae,Neste Rally Finland,2000,2,9.0
Sébastien Loeb,Neste Rally Finland,2000,DNF,9.0
Colin McRae,Cyprus Rally,2000,2,10.0
Carlos Sainz,Cyprus Rally,2000,1,10.0
Tommi Mäkinen,Cyprus Rally,2000,5,10.0
Tommi Mäkinen,V-Rally Tour de Corse - Rallye de France,2000,DNF,11.0
Colin McRae,V-Rally Tour de Corse - Rallye de France,2000,DNF,11.0
Carlos Sainz,V-Rally Tour de Corse - Rallye de France,2000,3,11.0
Tommi Mäkinen,Rallye Sanremo - Rallye d'Italia,2000,3,12.0
Colin McRae,Rallye Sanremo - Rallye d'Italia,2000,6,12.0
Carlos Sainz,Rallye Sanremo - Rallye d'Italia,2000,5,12.0
Sébastien Loeb,Rallye Sanremo - Rallye d'Italia,2000,1,12.0
Colin McRae,Telstra Rally Australia,2000,DNF,13.0
Tommi Mäkinen,Telstra Rally Australia,2000,DNF,13.0
Carlos Sainz,Telstra Rally Australia,2000,DNF,13.0
Sébastien Loeb,Network Q Rally of Great Britain,2000,3,14.0
Colin McRae,Network Q Rally of Great Britain,2000,DNF,14.0
Carlos Sainz,Network Q Rally of Great Britain,2000,4,14.0
Tommi Mäkinen,Network Q Rally of Great Britain,2000,3,14.0
Colin McRae,Rallye Automobile Monte-Carlo,2001,DNF,15.0
Sébastien Loeb,Rallye Automobile Monte-Carlo,2001,1,15.0
Tommi Mäkinen,Rallye Automobile Monte-Carlo,2001,1,15.0
Carlos Sainz,Rallye Automobile Monte-Carlo,2001,2,15.0
Colin McRae,International Swedish Rally,2001,9,16.0
Sébastien Loeb,International Swedish Rally,2001,DNF,16.0
Carlos Sainz,International Swedish Rally,2001,3,16.0
Tommi Mäkinen,International Swedish Rally,2001,DNF,16.0
Tommi Mäkinen,TAP Rallye de Portugal,2001,1,17.0
Colin McRae,TAP Rallye de Portugal,2001,DNF,17.0
Carlos Sainz,TAP Rallye de Portugal,2001,2,17.0
Tommi Mäkinen,Rallye Catalunya - Costa Brava - Rallye de España,2001,3,18.0
Colin McRae,Rallye Catalunya - Costa Brava - Rallye de España,2001,DNF,18.0
Carlos Sainz,Rallye Catalunya - Costa Brava - Rallye de España,2001,5,18.0
Carlos Sainz,Rally Argentina,2001,3,19.0
Tommi Mäkinen,Rally Argentina,2001,4,19.0
Colin McRae,Rally Argentina,2001,1,19.0
Carlos Sainz,Cyprus Rally,2001,3,20.0
Tommi Mäkinen,Cyprus Rally,2001,DNF,20.0
Colin McRae,Cyprus Rally,2001,1,20.0
Carlos Sainz,Acropolis Rally,2001,DNF,21.0
Tommi Mäkinen,Acropolis Rally,2001,4,21.0
Colin McRae,Acropolis Rally,2001,1,21.0
Carlos Sainz,Safari Rally Kenya,2001,DNF,22.0
Colin McRae,Safari Rally Kenya,2001,DNF,22.0
Tommi Mäkinen,Safari Rally Kenya,2001,1,22.0
Carlos Sainz,Neste Rally Finland,2001,6,23.0
Colin McRae,Neste Rally Finland,2001,3,23.0
Tommi Mäkinen,Propecia Rally New Zealand,2001,8,24.0
Carlos Sainz,Propecia Rally New Zealand,2001,4,24.0
Colin McRae,Propecia Rally New Zealand,2001,2,24.0
Tommi Mäkinen,Rallye Sanremo - Rallye d'Italia,2001,DNF,25.0
Sébastien Loeb,Rallye Sanremo - Rallye d'Italia,2001,2,25.0
Colin McRae,Rallye Sanremo - Rallye d'Italia,2001,8,25.0
Carlos Sainz,Rallye Sanremo - Rallye d'Italia,2001,4,25.0
Tommi Mäkinen,Tour de Corse - Rallye de France,2001,DNF,26.0
Carlos Sainz,Tour de Corse - Rallye de France,2001,DNF,26.0
Colin McRae,Tour de Corse - Rallye de France,2001,1,26.0
Colin McRae,Telstra Rally Australia,2001,5,27.0
Tommi Mäkinen,Telstra Rally Australia,2001,6,27.0
Carlos Sainz,Telstra Rally Australia,2001,8,27.0
Carlos Sainz,Network Q Rally of Great Britain,2001,DNF,28.0
Tommi Mäkinen,Network Q Rally of Great Britain,2001,DNF,28.0
Colin McRae,Network Q Rally of Great Britain,2001,DNF,28.0
Colin McRae,Rallye Automobile Monte-Carlo,2002,4,29.0
Sébastien Loeb,Rallye Automobile Monte-Carlo,2002,2,29.0
Tommi Mäkinen,Rallye Automobile Monte-Carlo,2002,1,29.0
Carlos Sainz,Rallye Automobile Monte-Carlo,2002,3,29.0
Carlos Sainz,Uddeholm Swedish Rally,2002,3,30.0
Tommi Mäkinen,Uddeholm Swedish Rally,2002,DNF,30.0
Colin McRae,Uddeholm Swedish Rally,2002,6,30.0
Sébastien Loeb,Uddeholm Swedish Rally,2002,1,30.0
Colin McRae,Tour de Corse - Rallye de France,2002,DNF,31.0
Carlos Sainz,Tour de Corse - Rallye de France,2002,6,31.0
Tommi Mäkinen,Tour de Corse - Rallye de France,2002,DNF,31.0
Colin McRae,Rally Catalunya - Costa Brava - Rally de España,2002,6,32.0
Sébastien Loeb,Rally Catalunya - Costa Brava - Rally de España,2002,DNF,32.0
Tommi Mäkinen,Rally Catalunya - Costa Brava - Rally de España,2002,DNF,32.0
Carlos Sainz,Rally Catalunya - Costa Brava - Rally de España,2002,DNF,32.0
Tommi Mäkinen,Cyprus Rally,2002,3,33.0
Carlos Sainz,Cyprus Rally,2002,1,33.0
Colin McRae,Cyprus Rally,2002,6,33.0
Carlos Sainz,Rally Argentina,2002,1,34.0
Tommi Mäkinen,Rally Argentina,2002,DNF,34.0
Colin McRae,Rally Argentina,2002,3,34.0
Carlos Sainz,Acropolis Rally,2002,3,35.0
Tommi Mäkinen,Acropolis Rally,2002,DNF,35.0
Colin McRae,Acropolis Rally,2002,1,35.0
Sébastien Loeb,Acropolis Rally,2002,7,35.0
Carlos Sainz,Inmarsat Safari Rally,2002,DNF,36.0
Sébastien Loeb,Inmarsat Safari Rally,2002,5,36.0
Colin McRae,Inmarsat Safari Rally,2002,1,36.0
Tommi Mäkinen,Inmarsat Safari Rally,2002,DNF,36.0
Tommi Mäkinen,Neste Rally Finland,2002,6,37.0
Sébastien Loeb,Neste Rally Finland,2002,1,37.0
Colin McRae,Neste Rally Finland,2002,DNF,37.0
Mikko Hirvonen,Neste Rally Finland,2002,2,37.0
Carlos Sainz,Neste Rally Finland,2002,4,37.0
Tommi Mäkinen,ADAC Rallye Deutschland,2002,7,38.0
Colin McRae,ADAC Rallye Deutschland,2002,4,38.0
Sébastien Loeb,ADAC Rallye Deutschland,2002,1,38.0
Carlos Sainz,ADAC Rallye Deutschland,2002,8,38.0
Carlos Sainz,Rallye Sanremo - Rallye d'Italia,2002,DNF,39.0
Tommi Mäkinen,Rallye Sanremo - Rallye d'Italia,2002,DNF,39.0
Mikko Hirvonen,Rallye Sanremo - Rallye d'Italia,2002,DNF,39.0
Colin McRae,Rallye Sanremo - Rallye d'Italia,2002,8,39.0
Colin McRae,Propecia Rally New Zealand,2002,DNF,40.0
Tommi Mäkinen,Propecia Rally New Zealand,2002,3,40.0
Carlos Sainz,Propecia Rally New Zealand,2002,4,40.0
Sébastien Loeb,Telstra Rally Australia,2002,7,41.0
Colin McRae,Telstra Rally Australia,2002,DNF,41.0
Carlos Sainz,Telstra Rally Australia,2002,4,41.0
Tommi Mäkinen,Telstra Rally Australia,2002,DNF,41.0
Carlos Sainz,Network Q Rally of Great Britain,2002,3,42.0
Sébastien Loeb,Network Q Rally of Great Britain,2002,DNF,42.0
Tommi Mäkinen,Network Q Rally of Great Britain,2002,4,42.0
Mikko Hirvonen,Network Q Rally of Great Britain,2002,DNF,42.0
Colin McRae,Network Q Rally of Great Britain,2002,5,42.0
Colin McRae,Rallye Automobile Monte-Carlo,2003,2,43.0
Carlos Sainz,Rallye Automobile Monte-Carlo,2003,3,43.0
Tommi Mäkinen,Rallye Automobile Monte-Carlo,2003,DNF,43.0
Sébastien Loeb,Rallye Automobile Monte-Carlo,2003,1,43.0
Mikko Hirvonen,Rallye Automobile Monte-Carlo,2003,DNF,43.0
Sébastien Loeb,Uddeholm Swedish Rally,2003,7,44.0
Mikko Hirvonen,Uddeholm Swedish Rally,2003,1,44.0
Carlos Sainz,Uddeholm Swedish Rally,2003,9,44.0
Tommi Mäkinen,Uddeholm Swedish Rally,2003,2,44.0
Colin McRae,Uddeholm Swedish Rally,2003,5,44.0
Tommi Mäkinen,Rally of Turkey,2003,8,45.0
Carlos Sainz,Rally of Turkey,2003,1,45.0
Sébastien Loeb,Rally of Turkey,2003,DNF,45.0
Colin McRae,Rally of Turkey,2003,4,45.0
Mikko Hirvonen,Rally of Turkey,2003,DNF,45.0
Tommi Mäkinen,Propecia Rally New Zealand,2003,7,46.0
Sébastien Loeb,Propecia Rally New Zealand,2003,4,46.0
Carlos Sainz,Propecia Rally New Zealand,2003,1,46.0
Colin McRae,Propecia Rally New Zealand,2003,DNF,46.0
Mikko Hirvonen,Propecia Rally New Zealand,2003,1,46.0
Mikko Hirvonen,YPF Rally Argentina,2003,1,47.0
Tommi Mäkinen,YPF Rally Argentina,2003,DNF,47.0
Carlos Sainz,YPF Rally Argentina,2003,2,47.0
Sébastien Loeb,YPF Rally Argentina,2003,DNF,47.0
Colin McRae,YPF Rally Argentina,2003,DNF,47.0
Colin McRae,Golden Acropolis Rally,2003,8,48.0
Tommi Mäkinen,Golden Acropolis Rally,2003,5,48.0
Mikko Hirvonen,Golden Acropolis Rally,2003,DNF,48.0
Carlos Sainz,Golden Acropolis Rally,2003,2,48.0
Carlos Sainz,Cyprus Rally,2003,5,49.0
Colin McRae,Cyprus Rally,2003,4,49.0
Tommi Mäkinen,Cyprus Rally,2003,DNF,49.0
Mikko Hirvonen,Cyprus Rally,2003,6,49.0
Sébastien Loeb,Cyprus Rally,2003,3,49.0
Mikko Hirvonen,ADAC Rallye Deutschland,2003,1,50.0
Colin McRae,ADAC Rallye Deutschland,2003,4,50.0
Carlos Sainz,ADAC Rallye Deutschland,2003,6,50.0
Sébastien Loeb,ADAC Rallye Deutschland,2003,1,50.0
Tommi Mäkinen,ADAC Rallye Deutschland,2003,DNF,50.0
Mikko Hirvonen,Neste Rally Finland,2003,DNF,51.0
Colin McRae,Neste Rally Finland,2003,DNF,51.0
Sébastien Loeb,Neste Rally Finland,2003,5,51.0
Carlos Sainz,Neste Rally Finland,2003,4,51.0
Tommi Mäkinen,Neste Rally Finland,2003,6,51.0
Sébastien Loeb,Telstra Rally Australia,2003,2,52.0
Carlos Sainz,Telstra Rally Australia,2003,5,52.0
Colin McRae,Telstra Rally Australia,2003,4,52.0
Mikko Hirvonen,Telstra Rally Australia,2003,9,52.0
Tommi Mäkinen,Telstra Rally Australia,2003,6,52.0
Tommi Mäkinen,Rallye Sanremo - Rallye d'Italia,2003,1,53.0
Carlos Sainz,Rallye Sanremo - Rallye d'Italia,2003,4,53.0
Colin McRae,Rallye Sanremo - Rallye d'Italia,2003,6,53.0
Mikko Hirvonen,Rallye Sanremo - Rallye d'Italia,2003,DNF,53.0
Sébastien Loeb,Rallye Sanremo - Rallye d'Italia,2003,1,53.0
Colin McRae,Tour de Corse - Rallye de France,2003,5,54.0
Mikko Hirvonen,Tour de Corse - Rallye de France,2003,1,54.0
Carlos Sainz,Tour de Corse - Rallye de France,2003,2,54.0
Sébastien Loeb,Tour de Corse - Rallye de France,2003,1,54.0
Tommi Mäkinen,Tour de Corse - Rallye de France,2003,7,54.0
Mikko Hirvonen,Rally Catalunya - Costa Brava - Rally de España,2003,1,55.0
Carlos Sainz,Rally Catalunya - Costa Brava - Rally de España,2003,7,55.0
Tommi Mäkinen,Rally Catalunya - Costa Brava - Rally de España,2003,8,55.0
Sébastien Loeb,Rally Catalunya - Costa Brava - Rally de España,2003,2,55.0
Colin McRae,Rally Catalunya - Costa Brava - Rally de España,2003,9,55.0
Mikko Hirvonen,Wales Rally GB,2003,DNF,56.0
Tommi Mäkinen,Wales Rally GB,2003,3,56.0
Sébastien Loeb,Wales Rally GB,2003,2,56.0
Carlos Sainz,Wales Rally GB,2003,DNF,56.0
Colin McRae,Wales Rally GB,2003,4,56.0
Sébastien Loeb,Rallye Automobile Monte-Carlo,2004,1,57.0
Carlos Sainz,Rallye Automobile Monte-Carlo,2004,DNF,57.0
Mikko Hirvonen,Rallye Automobile Monte-Carlo,2004,DNF,57.0
Mikko Hirvonen,Uddeholm Swedish Rally,2004,9,58.0
Carlos Sainz,Uddeholm Swedish Rally,2004,5,58.0
Sébastien Loeb,Uddeholm Swedish Rally,2004,1,58.0
Sébastien Loeb,Corona Rally Mexico,2004,DNF,59.0
Carlos Sainz,Corona Rally Mexico,2004,3,59.0
Mikko Hirvonen,Corona Rally Mexico,2004,5,59.0
Carlos Sainz,Propecia Rally New Zealand,2004,6,60.0
Mikko Hirvonen,Propecia Rally New Zealand,2004,7,60.0
Sébastien Loeb,Propecia Rally New Zealand,2004,4,60.0
Mikko Hirvonen,Cyprus Rally,2004,5,61.0
Sébastien Loeb,Cyprus Rally,2004,1,61.0
Carlos Sainz,Cyprus Rally,2004,3,61.0
Carlos Sainz,Acropolis Rally of Greece,2004,1,62.0
Sébastien Loeb,Acropolis Rally of Greece,2004,2,62.0
Mikko Hirvonen,Acropolis Rally of Greece,2004,DNF,62.0
Sébastien Loeb,Rally of Turkey,2004,1,63.0
Mikko Hirvonen,Rally of Turkey,2004,6,63.0
Carlos Sainz,Rally of Turkey,2004,4,63.0
Sébastien Loeb,CTI Movil Rally Argentina,2004,2,64.0
Mikko Hirvonen,CTI Movil Rally Argentina,2004,4,64.0
Carlos Sainz,CTI Movil Rally Argentina,2004,1,64.0
Carlos Sainz,Neste Rally Finland,2004,3,65.0
Mikko Hirvonen,Neste Rally Finland,2004,DNF,65.0
Sébastien Loeb,Neste Rally Finland,2004,4,65.0
Sébastien Loeb,OMV ADAC Rallye Deutschland,2004,1,66.0
Carlos Sainz,OMV ADAC Rallye Deutschland,2004,3,66.0
Mikko Hirvonen,OMV ADAC Rallye Deutschland,2004,8,66.0
Mikko Hirvonen,Rally Japan,2004,7,67.0
Sébastien Loeb,Rally Japan,2004,2,67.0
Carlos Sainz,Rally Japan,2004,5,67.0
Mikko Hirvonen,Wales Rally GB,2004,7,68.0
Sébastien Loeb,Wales Rally GB,2004,2,68.0
Carlos Sainz,Wales Rally GB,2004,4,68.0
Sébastien Loeb,Supermag Rally Italia Sardinia,2004,2,69.0
Mikko Hirvonen,Supermag Rally Italia Sardinia,2004,DNF,69.0
Carlos Sainz,Supermag Rally Italia Sardinia,2004,3,69.0
Sébastien Loeb,Tour de Corse - Rallye de France,2004,2,70.0
Mikko Hirvonen,Tour de Corse - Rallye de France,2004,1,70.0
Carlos Sainz,Tour de Corse - Rallye de France,2004,3,70.0
Carlos Sainz,Rally Catalunya - Costa Brava - Rally de España,2004,3,71.0
Sébastien Loeb,Rally Catalunya - Costa Brava - Rally de España,2004,DNF,71.0
Mikko Hirvonen,Rally Catalunya - Costa Brava - Rally de España,2004,8,71.0
Mikko Hirvonen,Telstra Rally Australia,2004,4,72.0
Sébastien Loeb,Telstra Rally Australia,2004,1,72.0
Sébastien Loeb,Rallye Automobile Monte-Carlo,2005,1,73.0
Mikko Hirvonen,Uddeholm Swedish Rally,2005,DNF,74.0
Sébastien Loeb,Uddeholm Swedish Rally,2005,DNF,74.0
Sébastien Loeb,Corona Rally Mexico,2005,4,75.0
Sébastien Loeb,Propecia Rally New Zealand,2005,1,76.0
Sébastien Loeb,Supermag Rally Italia Sardinia,2005,1,77.0
Mikko Hirvonen,Supermag Rally Italia Sardinia,2005,DNF,77.0
Sébastien Loeb,Cyprus Rally,2005,1,78.0
Carlos Sainz,Rally of Turkey,2005,4,79.0
Sébastien Loeb,Rally of Turkey,2005,1,79.0
Carlos Sainz,Acropolis Rally of Greece,2005,3,80.0
Sébastien Loeb,Acropolis Rally of Greece,2005,1,80.0
Mikko Hirvonen,Acropolis Rally of Greece,2005,5,80.0
Sébastien Loeb,Rally Argentina,2005,1,81.0
Mikko Hirvonen,Neste Rally Finland,2005,5,82.0
Sébastien Loeb,Neste Rally Finland,2005,2,82.0
Sébastien Loeb,OMV ADAC Rallye Deutschland,2005,1,83.0
Colin McRae,Wales Rally GB,2005,7,84.0
Sébastien Loeb,Wales Rally GB,2005,3,84.0
Mikko Hirvonen,Rally Japan,2005,DNF,85.0
Sébastien Loeb,Rally Japan,2005,2,85.0
Sébastien Loeb,Tour de Corse - Rallye de France,2005,1,86.0
Sébastien Loeb,RallyRACC Catalunya - Costa Daurada,2005,1,87.0
Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,2005,3,87.0
Colin McRae,Telstra Rally Australia,2005,DNF,88.0
Sébastien Loeb,Telstra Rally Australia,2005,DNF,88.0
Sébastien Loeb,Rallye Automobile Monte-Carlo,2006,2,89.0
Mikko Hirvonen,Rallye Automobile Monte-Carlo,2006,7,89.0
Sébastien Loeb,Uddeholm Swedish Rally,2006,2,90.0
Mikko Hirvonen,Uddeholm Swedish Rally,2006,1,90.0
Sébastien Loeb,Corona Rally Mexico,2006,1,91.0
Mikko Hirvonen,Corona Rally Mexico,2006,1,91.0
Sébastien Loeb,RallyRACC Catalunya - Costa Daurada,2006,1,92.0
Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,2006,9,92.0
Sébastien Loeb,Tour de Corse - Rallye de France,2006,1,93.0
Mikko Hirvonen,Tour de Corse - Rallye de France,2006,4,93.0
Sébastien Loeb,Rally Argentina,2006,1,94.0
Mikko Hirvonen,Rally Argentina,2006,DNF,94.0
Sébastien Loeb,Rally d'Italia Sardegna,2006,1,95.0
Mikko Hirvonen,Rally d'Italia Sardegna,2006,2,95.0
Mikko Hirvonen,BP Ultimate Acropolis Rally of Greece,2006,3,96.0
Sébastien Loeb,BP Ultimate Acropolis Rally of Greece,2006,2,96.0
Mikko Hirvonen,OMV ADAC Rallye Deutschland,2006,9,97.0
Sébastien Loeb,OMV ADAC Rallye Deutschland,2006,1,97.0
Mikko Hirvonen,Neste Rally Finland,2006,3,98.0
Sébastien Loeb,Neste Rally Finland,2006,2,98.0
Sébastien Loeb,Rally Japan,2006,1,99.0
Mikko Hirvonen,Rally Japan,2006,3,99.0
Mikko Hirvonen,Cyprus Rally,2006,3,100.0
Sébastien Loeb,Cyprus Rally,2006,1,100.0
Colin McRae,Rally of Turkey,2006,DNF,101.0
Mikko Hirvonen,Rally of Turkey,2006,2,101.0
Mikko Hirvonen,Telstra Rally Australia,2006,1,102.0
Mikko Hirvonen,Propecia Rally New Zealand,2006,2,103.0
Mikko Hirvonen,Wales Rally GB,2006,DNF,104.0
Mikko Hirvonen,Rallye Automobile Monte-Carlo,2007,5,105.0
Sébastien Loeb,Rallye Automobile Monte-Carlo,2007,1,105.0
Mikko Hirvonen,Uddeholm Swedish Rally,2007,3,106.0
Sébastien Loeb,Uddeholm Swedish Rally,2007,2,106.0
Mikko Hirvonen,Rally Norway,2007,1,107.0
Sébastien Loeb,Rally Norway,2007,1,107.0
Mikko Hirvonen,Corona Rally Mexico,2007,3,108.0
Sébastien Loeb,Corona Rally Mexico,2007,1,108.0
Mikko Hirvonen,Vodafone Rally de Portugal,2007,5,109.0
Sébastien Loeb,Vodafone Rally de Portugal,2007,1,109.0
Mikko Hirvonen,Rally Argentina,2007,3,110.0
Sébastien Loeb,Rally Argentina,2007,1,110.0
Mikko Hirvonen,Rally d'Italia Sardegna,2007,2,111.0
Sébastien Loeb,Rally d'Italia Sardegna,2007,DNF,111.0
Sébastien Loeb,BP Ultimate Acropolis Rally of Greece,2007,2,112.0
Mikko Hirvonen,BP Ultimate Acropolis Rally of Greece,2007,4,112.0
Mikko Hirvonen,Neste Oil Rally Finland,2007,2,113.0
Sébastien Loeb,Neste Oil Rally Finland,2007,3,113.0
Sébastien Loeb,ADAC Rallye Deutschland,2007,1,114.0
Mikko Hirvonen,ADAC Rallye Deutschland,2007,3,114.0
Sébastien Loeb,Rally New Zealand,2007,2,115.0
Mikko Hirvonen,Rally New Zealand,2007,3,115.0
Sébastien Loeb,RallyRACC Catalunya - Costa Daurada,2007,1,116.0
Mikko Hirvonen,RallyRACC Catalunya - Costa Daurada,2007,4,116.0
Mikko Hirvonen,Tour de Corse - Rallye de France,2007,1,117.0
Sébastien Loeb,Tour de Corse - Rallye de France,2007,1,117.0
Sébastien Loeb,Rally Japan,2007,DNF,118.0
Mikko Hirvonen,Rally Japan,2007,1,118.0
Mikko Hirvonen,Rally Ireland,2007,4,119.0
Sébastien Loeb,Rally Ireland,2007,1,119.0
Sébastien Loeb,Wales Rally GB,2007,3,120.0
Mikko Hirvonen,Wales Rally GB,2007,1,120.0
Mikko Hirvonen,Rallye Automobile Monte-Carlo,2008,2,121.0
Sébastien Loeb,Rallye Automobile Monte-Carlo,2008,1,121.0
Mikko Hirvonen,Uddeholm Swedish Rally,2008,2,122.0
