Customer,DBA Name,TDLR Number,City,State,Zip code
1ST CHOICE WRECKER SERVICE,"1ST CHOICE PAINT & BODY, INC",006096604C (Insurance not applied !),TERRELL,TX,75160
1ST CHOICE WRECKER SERVICE,"1ST CHOICE PAINT & BODY, INC.",0612137VSF (Insurance not applied !),TERRELL,TX,75160
1ST CHOICE WRECKER SERVICE LLC,,006529369C,SILSBEE,TX,77656
1ST CHOICE WRECKER SERVICE LLC,,0652937VSF,SILSBEE,TX,77656
1ST CHOICE WRECKER SERVICE LLC,,0655000VSF,SILSBEE,TX,77656
1STCHOICEWRECKERSERVICELLC,,0654581VSF,SILSBEE,TX,77656
24 HOUR WRECKER SERVICE INC.,,005052021C,LANCASTER,TX,75146
"24 HOUR WRECKER SERVICE, INC",,0514204VSF,LANCASTER,TX,75146
24/7 WRECKER SERVICE LLC,,006551087C,HARLINGEN,TX,78550
290 WRECKER SERVICE INC,HWY 290 WRECKER SERVICE,0656637VSF,HOCKLEY,TX,77447
"290 WRECKER SERVICE, INC.",HWY 290 WRECKER SERVICE,0657944VSF,HOCKLEY,TX,77447
"290 WRECKER SERVICE, INC.",HIGHWAY 290 WRECKER,0545753VSF,HOCKLEY,TX,77447
"290 WRECKER SERVICE, INC.",HIGHWAY 290 WRECKER,005697854C,HOCKLEY,TX,77447
"3 ACES WRECKER SERVICE, LLC",,0657711VSF,WALLISVILLE,TX,77597
"3 ACES WRECKER SERVICE, LLC",,0657712VSF,WALLISVILLE,TX,77597
"3 ACES WRECKER SERVICE, LLC",,0657713VSF,WALLISVILLE,TX,77597
"3 ACES WRECKER SERVICE, LLC",,006576510C,WALLISVILLE,TX,77597
A & A AUTO & WRECKER SERVICE,,0000031VSF,EDINBURG,TX,78539
A & A AUTO & WRECKER SERVICE,,0000039432,EDINBURG,TX,78542
A & A WRECKER,,005683182C,AUSTIN,TX,78722
A & A WRECKER AND RECOVERY L.L.C.,,0568645VSF,AUSTIN,TX,78722
A & A WRECKER AND RECOVERY L.L.C.,,0653350VSF,AUSTIN,TX,78722
A & H WRECKER SERVICE LLC,A&H WRECKER SERVICE,006543241C,SOUTH HOUSTON,TX,77587
A & I WRECKER SERVICE,,005266963C,HOUSTON,TX,77012
A & L WRECKER,,006415434C,DEER PARK,TX,77536
A & M WRECKER SERVICE LLC,,006490059C,ROSENBERG,TX,77471
A & M WRECKER SERVICE LLC,,0649006VSF,ROSENBERG,TX,77471
A & R WRECKER SERVICE,,0648812VSF,DONNA,TX,78537
A B C WRECKER SERVICE INC,,0577127VSF,WACO,TX,76708
"A WRECKER SERVICE,LLC",A WRECKER SERVICE,006060211C,STAFFORD,TX,77477
A&P BROTHER'S WRECKER SERVICES INC,,006560024C,RICHMOND,TX,77406
A&R WRECKER SERVICE,FELIPE HERNANDEZ III,006488096C,DONNA,TX,78537
"A-1 WRECKER SERVICE, LLC",,006181060C,FORT WORTH,TX,76116
"A-1 WRECKER SERVICE, LLC.",,0618108VSF,FORT WORTH,TX,76116
A-ACTION WRECKER SERVICE,,005766702C,FORT WORTH,TX,76105
A. MARTINEZ WRECKER SERVICE LLC,,006555161C,HOUSTON,TX,77023
A.S.A.P. WRECKER SERVICE INC,,006239524C,EL PASO,TX,79932
A1 QUICK STAR WRECKER SERVICE,,005629226C,SAN ANTONIO,TX,78219
AA WRECKER SERVICE,,0536827VSF,FORT WORTH,TX,76148
AA WRECKER SERVICE,,0000037359,FORT WORTH,TX,76148
AA WRECKER SERVICE,"AA WRECKER SERVICE, INC.",0607109VSF (Suspended!),WEATHERFORD,TX,76086
"ABBEY'S WRECKER SERVICE, INC.",,005764232C,DALLAS,TX,75208
"ABBEY'S WRECKER SERVICE, INC.",,0576424VSF,DALLAS,TX,75208
ABC WRECKER SERVICE INC.,,005767853C,WACO,TX,76708
ABI WRECKERS OF TOMBALL,,0640704VSF,MAGNOLIA,TX,77355
ABILENE AUTO WRECKING,DBA. ABILENE AUTO WRECKING,005059531C,ABILENE,TX,79601
ABSOLUTE WRECKER & STORAGE,,005433557C,CORPUS CHRISTI,TX,78427
ACE 1 WRECKER SERVICE LLC,,0520796VSF,CORPUS CHRISTI,TX,78403
ACE 1 WRECKER SERVICE LLC,,005059461C,CORPUS CHRISTI,TX,78403
ACE OF GALVESTON WRECKER SERVICE,,0000024VSF,GALVESTON,TX,77552
ACE OF GALVESTON WRECKER SERVICE,ACE OF GALVESTON WRECKER SERVICE,0650631VSF,GALVESTON,TX,77552
ACE WRECKER SERVICE INC,RAY'S WRECKER SERVICE,005820848C,VIDOR,TX,77662
"ACE WRECKER SERVICE, INC.",RAY'S WRECKER SERVICE,0582200VSF,VIDOR,TX,77662
ACME ROADRUNNER WRECKER,,005839490C,PALESTINE,TX,75801
ACTION WRECKER SERVICE INC.,,005945680C,MIDLAND,TX,79703
"ACTION WRECKER SERVICE, INC",,0602742VSF,MIDLAND,TX,79703
AD WRECKER SERVICE INC.,,0583542VSF,EL PASO,TX,79996
AD WRECKER SERVICE INC.,,005020618C,EL PASO,TX,79996
AIRLINE WRECKER SERVICE,,005754511C,HOUSTON,TX,77037
ALANIS WRECKER SERVICE,,005080594C,SAN ANTONIO,TX,78201
ALFREDO'S WRECKER SERVICE,,0600864VSF,MERCEDES,TX,78570
ALFREDO'S WRECKER SERVICE,,005893546C,MERCEDES,TX,78570
ALLAN MOTOR WRECKER SERVICE LLC,,0658233VSF,HOUSTON,TX,77060
ALLAN MOTORS & WRECKER SERVICE,ALLAN MOTORS & WRECKER SERVICE LLC,006471693C (Suspended!),HOUSTON,TX,77060
ALLAN MOTORS & WRECKER SERVICE LLC,,006582323C,HOUSTON,TX,77060
ALLAN'S WRECKER SERVICE INC,,0655342VSF,INEZ,TX,77968
ALLAN'S WRECKER SERVICE INC,,0656197VSF,INEZ,TX,77968
ALLAN'S WRECKER SERVICE INC,,0644035VSF,INEZ,TX,77968
"ALLAN'S WRECKER SERVICE, INC",,0000094VSF,INEZ,TX,77968
"ALLAN'S WRECKER SERVICE, INC.",,005062282C,INEZ,TX,77901
ALLIED WRECKER SERVICE LLC,,0658041VSF,CISCO,TX,76437
ALLIED WRECKER SERVICE LLC,,006580421C,RANGER,TX,76470
ALLPOINTS WRECKER SERVICE LLC,,006588859C,SPRING,TX,77386
"ALLSTATE AUTO WRECKING, INC",,005062742C,GRAND PRAIRIE,TX,75051
ALLSTATE WRECKER AND STORAGE,,0651180VSF,HOUSTON,TX,77014
ALMA'S WRECKER SERVICE,,006183440C,GARCIASVILLE,TX,78547
ALPHA WRECKER SERVICE LLC,,006518130C,HOUSTON,TX,77041
AM/PM WRECKER SERVICE,,006064791C,ELMENDORF,TX,78112
AMANDO'S WRECKER SERVICE LLC,,0645979VSF,ROMA,TX,78584
"AMANDO'S WRECKER SERVICE, LLC","AMANDO'S WRECKER SERVICE, LLC",006458673C,ROMA,TX,78584
